id	gene
391	IFNA10
392	OR51A4
393	LINC00659
394	C15orf53
395	PLA2G4D
396	CD300LF
397	C10orf120
398	HOXC6
399	CLNK
400	LOC643733
401	UGT1A3
402	SNORD116-8
403	OR6K6
404	GLYATL3
405	B4GALNT2
406	OTOP3
407	TEX28
408	C17orf105
409	PRAMEF5
410	KRT16P3
411	LINC00317
412	C20orf78
413	HOXC9
414	LINC00443
415	OR52M1
416	HIST1H2APS1
417	OR2C3
418	TPRX1
419	MS4A15
420	GPRC5D
421	OR51G1
422	FEZF1
423	FOXN1
424	ASB9
425	HOXA11-AS
426	OR8D2
427	DNMT3L
428	OR5D13
429	LOC388553
430	MIR600
431	HHEX
432	LGALS7B
433	OR2F1
434	PTH2
435	LHX6
436	SPRR2G
437	GZMB
438	OR6C74
439	KC6
440	BSND
441	MIR3653
442	OR5V1
443	MIR2277
444	LAIR2
445	TEX37
446	LOC646862
447	FLJ41350
448	UBASH3A
449	CLDN14
450	HS3ST4
451	LOC100133461
452	UGT1A4
453	MIR4999
454	LOC100286922
455	USP17L19
456	FOLR3
457	TRIM40
458	ODAM
459	LOC389033
460	NEU2
461	RAET1L
462	C20orf141
463	FLJ42969
464	CCDC179
465	NREP-AS1
466	KIF12
467	KRT78
468	OTOL1
469	IFNA8
470	LCE6A
471	HTR1B
472	LOC154872
473	RFPL4B
474	DPYD-AS1
475	OR2G2
476	LOC100507632
477	OR10A4
478	MIR556
479	HOXA10-HOXA9
480	LOC84931
481	SHH
482	LCE4A
483	OR2B11
484	OR51B4
485	MIR645
486	DNAJB8
487	DIAPH3-AS1
488	SPANXN5
489	IBSP
490	WFDC9
491	C12orf54
492	GPHB5
493	OR5A2
494	IL1F10
495	FFAR1
496	LOC285548
497	MIR621
498	LEUTX
499	OSR2
500	CYTH4
501	CMA1
502	SNORD72
503	LINC00457
504	TCP10L2
505	ANGPT4
506	TAAR1
507	MIR24-2
508	OR56A3
509	TAS2R41
510	MIR1-2
511	C6orf15
512	SNAR-C3
513	LOC100130480
514	CT47B1
515	OR3A2
516	SCXA
517	SCXB
518	TTTY4
519	TTTY4B
520	TTTY4C
521	MIR548Q
522	KRTAP3-3
523	CIDEA
524	C9orf53
525	GNG13
526	CTSG
527	MIR3692
528	LOC340094
529	SCGB2A2
530	PDZK1IP1
531	KRTAP2-4
532	GAST
533	ASCL2
534	SNORD116-28
535	KRTAP19-8
536	DEFB104A
537	DEFB104B
538	OPN1MW2
539	POU1F1
540	MIR3140
541	CCDC148-AS1
542	LOC732275
543	PRKACG
544	TAS2R60
545	MIR4306
546	MIR550B1
547	FGF16
548	CRISP1
549	DEFB123
550	RIPK3
551	BPIFA2
552	COX7B2
553	GNGT1
554	MMP7
555	CABP2
556	OR1F1
557	OR6C68
558	LOC340113
559	NOTO
560	DEFB103A
561	CASP12
562	ACTRT2
563	C5orf52
564	ODF1
565	XPNPEP2
566	IFNA14
567	KRTAP10-8
568	SAA1
569	FXYD4
570	CSTL1
571	IL36G
572	LINC00523
573	OR51B2
574	SPERT
575	LINC00398
576	ESM1
577	BTNL3
578	OR52R1
579	SAA4
580	MIR3179-1
581	MIR3179-2
582	MIR3179-3
583	NXF3
584	OR10G2
585	MIR636
586	IQCF1
587	LCN1
588	MIR3684
589	MIR4724
590	MT1DP
591	FOLR4
592	LCE2D
593	SMR3A
594	SPRR2D
595	STMND1
596	OR14J1
597	FRG2B
598	LOC100507003
599	TMED11P
600	LINC00229
601	MIR563
602	MC3R
603	GKN2
604	DHRS7C
605	OR10V2P
606	KRTAP10-1
607	MIR1226
608	FDCSP
609	OR4D5
610	FMR1NB
611	MIR663A
612	AMELX
613	KRTAP9-4
614	LINC00028
615	MIR497
616	OXT
617	MBD3L4
618	MBD3L5
619	SBK2
620	MIR450A1
621	SNORA69
622	MIR130A
623	KRTAP10-9
624	KRTAP10-6
625	SNORD116-11
626	MIR620
627	MFSD6L
628	SNORA2B
629	MIR4256
630	MIR499A
631	GAGE2C
632	MIR3939
633	RIPPLY1
634	PAR4
635	MIR32
