source	target	weight
AA06	FEZF1-AS1	1
KRTAP3-1	FEZF1-AS1	1
MIR378C	FEZF1-AS1	1
NR0B2	FEZF1-AS1	1
OR2Y1	FEZF1-AS1	1
OR3A3	FEZF1-AS1	1
SERPINA5	FEZF1-AS1	1
ALPPL2	FLJ46300	1
C10orf91	FLJ46300	1
CD300C	FLJ46300	1
HLA-DQA2	FLJ46300	1
MIR663B	FLJ46300	1
MOGAT2	FLJ46300	1
OR4E2	FLJ46300	1
OR4K13	FLJ46300	1
OR6Y1	FLJ46300	1
PCGEM1	FLJ46300	1
AA06	FLJ46300	1
KRTAP3-1	FLJ46300	1
MIR378C	FLJ46300	1
NR0B2	FLJ46300	1
OR2Y1	FLJ46300	1
OR3A3	FLJ46300	1
SERPINA5	FLJ46300	1
FEZF1-AS1	FLJ46300	1
ALPPL2	LILRB5	1
C10orf91	LILRB5	1
CD300C	LILRB5	1
HLA-DQA2	LILRB5	1
MIR663B	LILRB5	1
MOGAT2	LILRB5	1
OR4E2	LILRB5	1
OR4K13	LILRB5	1
OR6Y1	LILRB5	1
PCGEM1	LILRB5	1
AA06	LILRB5	1
KRTAP3-1	LILRB5	1
MIR378C	LILRB5	1
NR0B2	LILRB5	1
OR2Y1	LILRB5	1
OR3A3	LILRB5	1
SERPINA5	LILRB5	1
FEZF1-AS1	LILRB5	1
FLJ46300	LILRB5	1
MIR3907	GPR101	0.957672778417782
SNORD114-20	GPR101	0.957672778417782
ALPPL2	HS3ST6	1
C10orf91	HS3ST6	1
CD300C	HS3ST6	1
HLA-DQA2	HS3ST6	1
MIR663B	HS3ST6	1
MOGAT2	HS3ST6	1
OR4E2	HS3ST6	1
OR4K13	HS3ST6	1
OR6Y1	HS3ST6	1
PCGEM1	HS3ST6	1
AA06	HS3ST6	1
KRTAP3-1	HS3ST6	1
MIR378C	HS3ST6	1
NR0B2	HS3ST6	1
OR2Y1	HS3ST6	1
OR3A3	HS3ST6	1
SERPINA5	HS3ST6	1
FEZF1-AS1	HS3ST6	1
FLJ46300	HS3ST6	1
LILRB5	HS3ST6	1
MB	HNF1B	0.954468430399774
KRTAP11-1	HNF1B	0.954468430399774
MIR514A1	HNF1B	0.954468430399774
SERPINB12	HNF1B	0.954468430399774
SPDYE4	HNF1B	0.954468430399774
ALPPL2	OR6C65	1
C10orf91	OR6C65	1
CD300C	OR6C65	1
HLA-DQA2	OR6C65	1
MIR663B	OR6C65	1
MOGAT2	OR6C65	1
OR4E2	OR6C65	1
OR4K13	OR6C65	1
OR6Y1	OR6C65	1
PCGEM1	OR6C65	1
AA06	OR6C65	1
KRTAP3-1	OR6C65	1
MIR378C	OR6C65	1
NR0B2	OR6C65	1
OR2Y1	OR6C65	1
OR3A3	OR6C65	1
SERPINA5	OR6C65	1
FEZF1-AS1	OR6C65	1
FLJ46300	OR6C65	1
LILRB5	OR6C65	1
HS3ST6	OR6C65	1
LOC100507334	CCDC166	1
MIR3668	OR13F1	1
ALPPL2	GJA10	1
C10orf91	GJA10	1
CD300C	GJA10	1
HLA-DQA2	GJA10	1
MIR663B	GJA10	1
MOGAT2	GJA10	1
OR4E2	GJA10	1
OR4K13	GJA10	1
OR6Y1	GJA10	1
PCGEM1	GJA10	1
AA06	GJA10	1
KRTAP3-1	GJA10	1
MIR378C	GJA10	1
NR0B2	GJA10	1
OR2Y1	GJA10	1
OR3A3	GJA10	1
SERPINA5	GJA10	1
FEZF1-AS1	GJA10	1
FLJ46300	GJA10	1
LILRB5	GJA10	1
HS3ST6	GJA10	1
OR6C65	GJA10	1
MIR4271	MYF6	1
ALPPL2	MSC	1
C10orf91	MSC	1
CD300C	MSC	1
HLA-DQA2	MSC	1
MIR663B	MSC	1
MOGAT2	MSC	1
OR4E2	MSC	1
OR4K13	MSC	1
OR6Y1	MSC	1
PCGEM1	MSC	1
AA06	MSC	1
KRTAP3-1	MSC	1
MIR378C	MSC	1
NR0B2	MSC	1
OR2Y1	MSC	1
OR3A3	MSC	1
SERPINA5	MSC	1
FEZF1-AS1	MSC	1
FLJ46300	MSC	1
LILRB5	MSC	1
HS3ST6	MSC	1
OR6C65	MSC	1
GJA10	MSC	1
ALPPL2	PAX2	1
C10orf91	PAX2	1
CD300C	PAX2	1
HLA-DQA2	PAX2	1
MIR663B	PAX2	1
MOGAT2	PAX2	1
OR4E2	PAX2	1
OR4K13	PAX2	1
OR6Y1	PAX2	1
PCGEM1	PAX2	1
AA06	PAX2	1
KRTAP3-1	PAX2	1
MIR378C	PAX2	1
NR0B2	PAX2	1
OR2Y1	PAX2	1
OR3A3	PAX2	1
SERPINA5	PAX2	1
FEZF1-AS1	PAX2	1
FLJ46300	PAX2	1
LILRB5	PAX2	1
HS3ST6	PAX2	1
OR6C65	PAX2	1
GJA10	PAX2	1
MSC	PAX2	1
ALPPL2	NKX3-2	1
C10orf91	NKX3-2	1
CD300C	NKX3-2	1
HLA-DQA2	NKX3-2	1
MIR663B	NKX3-2	1
MOGAT2	NKX3-2	1
OR4E2	NKX3-2	1
OR4K13	NKX3-2	1
OR6Y1	NKX3-2	1
PCGEM1	NKX3-2	1
AA06	NKX3-2	1
KRTAP3-1	NKX3-2	1
MIR378C	NKX3-2	1
NR0B2	NKX3-2	1
OR2Y1	NKX3-2	1
OR3A3	NKX3-2	1
SERPINA5	NKX3-2	1
FEZF1-AS1	NKX3-2	1
FLJ46300	NKX3-2	1
LILRB5	NKX3-2	1
HS3ST6	NKX3-2	1
OR6C65	NKX3-2	1
GJA10	NKX3-2	1
MSC	NKX3-2	1
PAX2	NKX3-2	1
DEFB4A	OR1L3	1
TTTY22	OR1L3	1
BPIFA3	OR1L3	1
LINC00359	OR1L3	1
ALPPL2	GTSF1L	1
C10orf91	GTSF1L	1
CD300C	GTSF1L	1
HLA-DQA2	GTSF1L	1
MIR663B	GTSF1L	1
MOGAT2	GTSF1L	1
OR4E2	GTSF1L	1
OR4K13	GTSF1L	1
OR6Y1	GTSF1L	1
PCGEM1	GTSF1L	1
AA06	GTSF1L	1
KRTAP3-1	GTSF1L	1
MIR378C	GTSF1L	1
NR0B2	GTSF1L	1
OR2Y1	GTSF1L	1
OR3A3	GTSF1L	1
SERPINA5	GTSF1L	1
FEZF1-AS1	GTSF1L	1
FLJ46300	GTSF1L	1
LILRB5	GTSF1L	1
HS3ST6	GTSF1L	1
OR6C65	GTSF1L	1
GJA10	GTSF1L	1
MSC	GTSF1L	1
PAX2	GTSF1L	1
NKX3-2	GTSF1L	1
MIR301B	KRT33A	1
MB	LYZL4	1
KRTAP11-1	LYZL4	1
MIR514A1	LYZL4	1
SERPINB12	LYZL4	1
SPDYE4	LYZL4	1
HNF1B	LYZL4	0.954468430399774
MB	FATE1	1
KRTAP11-1	FATE1	1
MIR514A1	FATE1	1
SERPINB12	FATE1	1
SPDYE4	FATE1	1
HNF1B	FATE1	0.954468430399774
LYZL4	FATE1	1
DEFB4A	KRT36	1
TTTY22	KRT36	1
BPIFA3	KRT36	1
LINC00359	KRT36	1
OR1L3	KRT36	1
ALPPL2	OR56B4	1
C10orf91	OR56B4	1
CD300C	OR56B4	1
HLA-DQA2	OR56B4	1
MIR663B	OR56B4	1
MOGAT2	OR56B4	1
