source	target	weight
SCGB1D2	AMN	1
MIR4720	SIT1	1
BDKRB1	STOML3	1
MIR4777	STOML3	1
MAGEA5	RBMXL2	0.93114613430025
MSMB	TUBA4B	0.959253899419318
BSPH1	TUBA4B	0.959253899419318
OR5D13	TUBA4B	0.959253899419318
LINC00029	TUBA4B	0.959253899419318
MIR130B	ATXN3L	1
LOC643441	FEZF2	1
PDE6H	LOC344887	0.963660785659026
IFNA21	LOC344887	0.963660785659025
HOXC13	SSTR4	1
KRT79	SSTR4	0.870279812278684
WFDC10A	PPBP	1
HOXB-AS5	CLEC4F	1
MIR211	CLEC4F	1
OR51G2	CLEC4F	1
MIR642B	CLEC4F	1
SULT6B1	CLEC4F	1
OR56A3	CLEC4F	1
GUCA2A	CLEC4F	1
C6orf222	CLEC4F	1
GDF3	HNF4A	1
LOC158376	HNF4A	1
MIR553	HNF4A	1
OR1S1	HNF4A	1
MIR4295	HNF4A	1
NKX2-6	NUP210P1	0.833282466648528
OLIG3	HBA1	0.968657201519235
GPRC5D	HBA1	1
OR5A2	HBA1	1
SUPT20HL2	PIWIL1	1
HOXB-AS3	HOXB7	0.74337354009766
ARHGEF38-IT1	HOXB7	0.74337354009766
KLK12	OR4K1	1
GJA10	OR4K1	1
ATP6V0CP3	KRTAP5-11	1
MIR3660	KRTAP5-11	1
ASGR2	KRTAP5-11	0.71080688925615
OR1F2P	OR56B1	1
DPYD-AS1	ADTRP	0.804661440941934
MIR502	DLX2	1
IL1F10	DLX2	1
KRTAP2-4	DLX2	1
GLT6D1	DLX2	1
OR10G2	DLX2	1
GKN2	DLX2	1
MIR502	PSORS1C2	1
IL1F10	PSORS1C2	1
KRTAP2-4	PSORS1C2	1
GLT6D1	PSORS1C2	1
OR10G2	PSORS1C2	1
GKN2	PSORS1C2	1
DLX2	PSORS1C2	1
MIR502	SERPINB3	1
IL1F10	SERPINB3	1
KRTAP2-4	SERPINB3	1
GLT6D1	SERPINB3	1
OR10G2	SERPINB3	1
GKN2	SERPINB3	1
DLX2	SERPINB3	1
PSORS1C2	SERPINB3	1
MYOD1	FOXQ1	1
UGT2B17	LOC339822	1
BTG4	LOC339822	1
LINC00499	LY96	0.848926887963474
STMND1	LY96	0.848926887963474
MIR18A	OR2G6	1
HS3ST6	OR2G6	1
MIR563	OR2G6	1
TMEM174	OR2G6	1
CGB8	OR2G6	1
OR1F2P	C19orf59	1
OR56B1	C19orf59	1
MSMB	PLA2G2D	0.876989366189851
BSPH1	PLA2G2D	0.876989366189851
OR5D13	PLA2G2D	0.876989366189851
LINC00029	PLA2G2D	0.876989366189851
TUBA4B	PLA2G2D	0.840951742478865
MIR3193	OR8H1	1
NKX6-3	INSL5	1
OR3A1	LOC286135	0.985765732322606
NCR2	LOC286135	0.839129945399411
POU1F1	LOC100507362	1
C19orf33	DNAJB8-AS1	0.950360997653441
SDR42E1	C7orf34	1
PNLIPRP3	KRT72	1
CTXN3	DKFZp434L192	1
SERPINA9	OR52N2	0.72524411964182
MIR548J	OR52N2	0.72524411964182
REG1B	OR52N2	0.72524411964182
MAGEB5	OR52N2	0.72524411964182
MGC27382	OR52N2	0.72524411964182
LOC154872	OR52N2	0.72524411964182
CCL8	OR52N2	0.72524411964182
SYNPR-AS1	OR52N2	0.72524411964182
GPR141	OR52N2	0.72524411964182
MIR4305	OR52N2	0.72524411964182
GSTA3	OR52N2	0.72524411964182
GALNTL5	GDF2	1
GDF3	PRSS1	1
LOC158376	PRSS1	1
MIR553	PRSS1	1
OR1S1	PRSS1	1
MIR4295	PRSS1	1
HNF4A	PRSS1	1
SERPINA9	OR9G1	0.863330394173848
MIR548J	OR9G1	0.863330394173847
REG1B	OR9G1	0.863330394173848
MAGEB5	OR9G1	0.863330394173848
MGC27382	OR9G1	0.863330394173848
LOC154872	OR9G1	0.863330394173847
CCL8	OR9G1	0.863330394173847
SYNPR-AS1	OR9G1	0.863330394173847
GPR141	OR9G1	0.863330394173847
MIR4305	OR9G1	0.863330394173847
GSTA3	OR9G1	0.863330394173847
SERPINA9	OR9G9	0.863330394173848
MIR548J	OR9G9	0.863330394173847
REG1B	OR9G9	0.863330394173848
MAGEB5	OR9G9	0.863330394173848
MGC27382	OR9G9	0.863330394173848
LOC154872	OR9G9	0.863330394173847
CCL8	OR9G9	0.863330394173847
SYNPR-AS1	OR9G9	0.863330394173847
GPR141	OR9G9	0.863330394173847
MIR4305	OR9G9	0.863330394173847
GSTA3	OR9G9	0.863330394173847
OR9G1	OR9G9	1
ATP6V0CP3	MAS1L	1
MIR3660	MAS1L	1
ASGR2	MAS1L	0.71080688925615
KRTAP5-11	MAS1L	1
MIR502	DEFB125	0.917675704211088
IL1F10	DEFB125	0.917675704211088
KRTAP2-4	DEFB125	0.917675704211088
GLT6D1	DEFB125	0.917675704211088
OR10G2	DEFB125	0.917675704211088
GKN2	DEFB125	0.917675704211088
DLX2	DEFB125	0.917675704211088
PSORS1C2	DEFB125	0.917675704211088
SERPINB3	DEFB125	0.917675704211088
LINC00499	KRT83	1
STMND1	KRT83	1
LY96	KRT83	0.848926887963474
MIR4720	LOC339568	1
SIT1	LOC339568	1
HSFY1P1	VN1R10P	1
HS3ST4	VN1R10P	1
LYZL1	VN1R10P	0.809304527209552
SERPINA9	OR2W1	1
MIR548J	OR2W1	1
REG1B	OR2W1	1
MAGEB5	OR2W1	1
MGC27382	OR2W1	1
LOC154872	OR2W1	1
CCL8	OR2W1	1
SYNPR-AS1	OR2W1	1
GPR141	OR2W1	1
MIR4305	OR2W1	1
GSTA3	OR2W1	1
OR52N2	OR2W1	0.72524411964182
OR9G1	OR2W1	0.863330394173847
OR9G9	OR2W1	0.863330394173847
SLC25A3P1	AWAT1	1
CAMP	KRTAP4-7	1
MIR4760	KRTAP4-7	1
MIR941-2	KRTAP4-7	1
FAM83F	AKR1C4	1
OR14I1	P2RY10	1
BANF2	P2RY10	1
MIR3193	TSPAN16	1
OR8H1	TSPAN16	1
HOXB-AS3	PRDM9	1
ARHGEF38-IT1	PRDM9	1
HOXB7	PRDM9	0.74337354009766
C1orf64	PRAMEF21	1
CCDC179	RTP2	1
GDF3	ACSM2B	1
LOC158376	ACSM2B	1
MIR553	ACSM2B	1
OR1S1	ACSM2B	1
MIR4295	ACSM2B	1
HNF4A	ACSM2B	1
PRSS1	ACSM2B	1
PDE6H	OR1D4	0.886587261105802
IFNA21	OR1D4	0.886587261105802
LOC344887	OR1D4	0.853982825542961
SERPINA9	OR51D1	1
MIR548J	OR51D1	1
REG1B	OR51D1	1
MAGEB5	OR51D1	1
MGC27382	OR51D1	1
LOC154872	OR51D1	1
CCL8	OR51D1	1
SYNPR-AS1	OR51D1	1
GPR141	OR51D1	1
MIR4305	OR51D1	1
GSTA3	OR51D1	1
OR52N2	OR51D1	0.72524411964182
OR9G1	OR51D1	0.863330394173847
OR9G9	OR51D1	0.863330394173847
OR2W1	OR51D1	1
AHSP	LOC201651	1
GALP	GUCY2EP	0.832217467925286
ASCL4	CXorf61	1
OSTN	CXorf61	1
LOC653486	CXorf61	1
OACYLP	CXorf61	1
MIR5684	TRAT1	1
PDE6H	CRYGB	0.854006610858458
IFNA21	CRYGB	0.854006610858458
LOC344887	CRYGB	0.822537911423858
OR1D4	CRYGB	0.756613008085529
MIR216A	MAGEB4	1
NAALADL2-AS3	MAGEB4	1
SPINK14	MAGEB4	1
OPN1MW	OR6B2	0.872201766562224
MIR378D2	SERPINA11	1
SUPT20HL2	OR51T1	1
PIWIL1	OR51T1	1
PDE6H	KRT75	1
IFNA21	KRT75	1
LOC344887	KRT75	0.963660785659026
OR1D4	KRT75	0.886587261105802
CRYGB	KRT75	0.854006610858458
NKX6-3	MIR4482-1	1
INSL5	MIR4482-1	1
TRIM40	KRT16P1	1
FXYD4	FAM154A	1
HTN3	MMP26	1
SLC17A9	MMP26	0.946080725378325
SLAMF1	MMP26	1
MIR3193	KRT39	0.927125814167695
OR8H1	KRT39	0.927125814167695
TSPAN16	KRT39	0.927125814167695
BDKRB1	AFM	1
MIR4777	AFM	1
STOML3	AFM	1
MSMB	LCE2A	1
BSPH1	LCE2A	1
OR5D13	LCE2A	1
LINC00029	LCE2A	1
TUBA4B	LCE2A	0.959253899419318
PLA2G2D	LCE2A	0.876989366189851
OR5AR1	C7orf66	1
H2AFB2	SNORA35	1
SNORD114-26	SNORA35	1
SERPINA9	SLC22A25	1
MIR548J	SLC22A25	1
REG1B	SLC22A25	1
MAGEB5	SLC22A25	1
MGC27382	SLC22A25	1
LOC154872	SLC22A25	1
CCL8	SLC22A25	1
SYNPR-AS1	SLC22A25	1
GPR141	SLC22A25	1
MIR4305	SLC22A25	1
GSTA3	SLC22A25	1
OR52N2	SLC22A25	0.72524411964182
OR9G1	SLC22A25	0.863330394173847
OR9G9	SLC22A25	0.863330394173847
OR2W1	SLC22A25	1
OR51D1	SLC22A25	1
USP17L19	USP17L12	0.714583885352159
USP17L19	USP17L21	0.714583885352159
USP17L12	USP17L21	1
KRTAP10-2	DNAJB3	1
TMEM114	WT1-AS	1
PAX4	WT1-AS	1
POU1F1	TLX1	1
LOC100507362	TLX1	1
AHSP	EDN2	1
LOC201651	EDN2	1
SNORD58A	PTTG2	1
MIR18A	KRT71	1
HS3ST6	KRT71	1
MIR563	KRT71	1
TMEM174	KRT71	1
CGB8	KRT71	1
OR2G6	KRT71	1
IL9	SNORD70	1
GNGT2	SNORD70	1
POU1F1	OR4D11	0.844461790144338
LOC100507362	OR4D11	0.844461790144338
TLX1	OR4D11	0.844461790144338
ESM1	TLX1NB	0.836652395939794
GALP	DEFB132	1
GUCY2EP	DEFB132	0.832217467925286
OR2V2	OR6P1	0.76839344750004
SPINK1	OR6P1	0.76839344750004
RAET1L	OR6P1	0.76839344750004
HOXB-AS5	PRAC	0.817796446173961
MIR211	PRAC	0.817796446173961
OR51G2	PRAC	0.817796446173961
MIR642B	PRAC	0.817796446173961
SULT6B1	PRAC	0.817796446173961
OR56A3	PRAC	0.817796446173961
GUCA2A	PRAC	0.817796446173961
C6orf222	PRAC	0.817796446173961
CLEC4F	PRAC	0.817796446173961
TCP10	OR9G4	0.83532556625391
UGT1A9	OR9G4	0.83532556625391
TM4SF5	THBD	0.858042675919471
CAMP	MIR3616	1
MIR4760	MIR3616	1
MIR941-2	MIR3616	1
KRTAP4-7	MIR3616	1
ZCCHC13	NTF4	0.828444619149813
ESM1	SATB2-AS1	1
TLX1NB	SATB2-AS1	0.836652395939794
MIR1247	TSGA10IP	0.735925954325952
HOXB-AS3	C9orf106	1
ARHGEF38-IT1	C9orf106	1
HOXB7	C9orf106	0.74337354009766
PRDM9	C9orf106	1
MS4A6E	FAM153B	0.909818953849847
OR2V2	MIR3940	1
SPINK1	MIR3940	1
RAET1L	MIR3940	1
OR6P1	MIR3940	0.76839344750004
BDKRB1	MIR626	1
MIR4777	MIR626	1
STOML3	MIR626	1
AFM	MIR626	1
RTP3	IFNA6	1
OR56B4	IFNA6	1
CELA3B	IFNA6	1
MIR502	LCN8	1
IL1F10	LCN8	1
KRTAP2-4	LCN8	1
GLT6D1	LCN8	1
OR10G2	LCN8	1
GKN2	LCN8	1
DLX2	LCN8	1
PSORS1C2	LCN8	1
SERPINB3	LCN8	1
DEFB125	LCN8	0.917675704211088
MIR632	OR8B8	1
POU1F1	LELP1	1
LOC100507362	LELP1	1
TLX1	LELP1	1
OR4D11	LELP1	0.844461790144338
MIR3193	IFNL1	1
OR8H1	IFNL1	1
TSPAN16	IFNL1	1
KRT39	IFNL1	0.927125814167695
GALNTL5	LINC00841	1
GDF2	LINC00841	1
C1orf64	OR5K4	1
PRAMEF21	OR5K4	1
AOAH-IT1	PRAMEF12	0.812635077478274
GDF3	VGLL1	1
LOC158376	VGLL1	1
MIR553	VGLL1	1
OR1S1	VGLL1	1
MIR4295	VGLL1	1
HNF4A	VGLL1	1
PRSS1	VGLL1	1
ACSM2B	VGLL1	1
NTF3	CCL11	1
OR2V2	LINC00474	1
SPINK1	LINC00474	1
RAET1L	LINC00474	1
OR6P1	LINC00474	0.76839344750004
MIR3940	LINC00474	1
MIR4763	MIR1289-2	0.807163399216107
MIR18A	SNAR-F	1
HS3ST6	SNAR-F	1
MIR563	SNAR-F	1
TMEM174	SNAR-F	1
CGB8	SNAR-F	1
OR2G6	SNAR-F	1
KRT71	SNAR-F	1
GDF3	SERPINA4	1
LOC158376	SERPINA4	1
MIR553	SERPINA4	1
OR1S1	SERPINA4	1
MIR4295	SERPINA4	1
HNF4A	SERPINA4	1
PRSS1	SERPINA4	1
ACSM2B	SERPINA4	1
VGLL1	SERPINA4	1
LCN15	IL17C	1
TIFAB	IL17C	1
HOXB-AS5	MIR4744	1
MIR211	MIR4744	1
OR51G2	MIR4744	1
MIR642B	MIR4744	1
SULT6B1	MIR4744	1
OR56A3	MIR4744	1
GUCA2A	MIR4744	1
C6orf222	MIR4744	1
CLEC4F	MIR4744	1
PRAC	MIR4744	0.817796446173961
SPANXA2	NLRP7	1
SBK2	NLRP7	1
SNORD116-1	NLRP7	1
C16orf78	MIR16-2	0.749014706474615
C1orf68	MIR16-2	0.749014706474615
IL22RA1	MIR16-2	0.749014706474615
GTSF1	SNORD95	0.766601999335099
MIR5196	LINC00446	1
MIR1307	HAO2	1
BDKRB1	ANKRD63	1
MIR4777	ANKRD63	1
STOML3	ANKRD63	1
AFM	ANKRD63	1
MIR626	ANKRD63	1
TCP10	SNORD52	1
HOXD12	SNORD52	0.805900021859502
UGT1A9	SNORD52	1
OR9G4	SNORD52	0.83532556625391
OR5AR1	MIR29C	1
C7orf66	MIR29C	1
MBD3L4	TFAP2D	1
MBD3L5	TFAP2D	1
MBD3L2	TFAP2D	1
POU1F1	SUSD3	1
LOC100507362	SUSD3	1
TLX1	SUSD3	1
OR4D11	SUSD3	0.844461790144338
LELP1	SUSD3	1
MIR635	HMHB1	1
TBC1D21	SNORD1B	1
LINC00499	SNORD4B	0.718012947125854
STMND1	SNORD4B	0.718012947125854
KRT83	SNORD4B	0.718012947125854
CAPN11	SNORA70D	0.868828502561738
OTOL1	SNORA70D	1
SHH	SNORA70D	1
COX7B2	SNORA70D	1
CHODL-AS1	SNORD81	1
OR1F2P	OR2T1	1
OR56B1	OR2T1	1
C19orf59	OR2T1	1
MIR4315-1	BPIFB4	1
MIR4315-2	BPIFB4	1
MIR130B	GCSAML-AS1	1
ATXN3L	GCSAML-AS1	1
TMEM114	LINC00589	0.94378396326472
PAX4	LINC00589	0.94378396326472
WT1-AS	LINC00589	0.94378396326472
AHSP	COL4A2-AS1	1
LOC201651	COL4A2-AS1	1
EDN2	COL4A2-AS1	1
MIR100	CCR7	1
OR2C3	CCR7	1
MIR221	CCR7	1
WFDC10A	PCDHB1	1
PPBP	PCDHB1	1
FAM170A	RGL3	1
MSMB	LOC100507391	0.725239769105884
BSPH1	LOC100507391	0.725239769105884
OR5D13	LOC100507391	0.725239769105884
LINC00029	LOC100507391	0.725239769105884
LCE2A	LOC100507391	0.725239769105884
MIR4761	LOC401463	1
PDE6H	C7orf45	1
IFNA21	C7orf45	1
LOC344887	C7orf45	0.963660785659026
OR1D4	C7orf45	0.886587261105802
CRYGB	C7orf45	0.854006610858458
KRT75	C7orf45	1
KISS1	LOC284294	1
MIR5685	OR8B12	1
MIR641	OR8B12	1
TMEM114	CCDC54	1
PAX4	CCDC54	1
WT1-AS	CCDC54	1
LINC00589	CCDC54	0.94378396326472
MS4A6E	FAM153A	0.909818953849847
FAM153B	FAM153A	1
SEMA3G	TTTY9A	0.948815297902234
SEMA3G	TTTY9B	0.948815297902234
TTTY9A	TTTY9B	1
OR2V2	LOC340074	0.986659603301479
SPINK1	LOC340074	0.986659603301479
RAET1L	LOC340074	0.986659603301479
OR6P1	LOC340074	0.757909694927298
MIR3940	LOC340074	0.986659603301479
LINC00474	LOC340074	0.986659603301479
OR2V2	AADAC	1
SPINK1	AADAC	1
RAET1L	AADAC	1
OR6P1	AADAC	0.76839344750004
MIR3940	AADAC	1
LINC00474	AADAC	1
LOC340074	AADAC	0.986659603301479
BDKRB1	CLDN10-AS1	1
MIR4777	CLDN10-AS1	1
STOML3	CLDN10-AS1	1
AFM	CLDN10-AS1	1
MIR626	CLDN10-AS1	1
ANKRD63	CLDN10-AS1	1
SNORD121A	LOC340107	0.963430821792736
OR5B3	LOC340107	0.963430821792736
ITLN2	LOC340107	0.963430821792736
GNLY	GCNT3	0.73154139851116
HTN3	SIGLEC7	1
SLC17A9	SIGLEC7	0.946080725378325
SLAMF1	SIGLEC7	1
MMP26	SIGLEC7	1
VAX1	CD3E	0.976408145466132
MIR378D2	KNCN	0.96675187365499
SERPINA11	KNCN	0.96675187365499
MIR4315-1	LRIT1	1
MIR4315-2	LRIT1	1
BPIFB4	LRIT1	1
MBD3L4	LOC284788	1
MBD3L5	LOC284788	1
MBD3L2	LOC284788	1
TFAP2D	LOC284788	1
C19orf33	SEMG2	1
DNAJB8-AS1	SEMG2	0.950360997653441
LINC00239	CST5	0.829478673864789
MSMB	BLK	1
BSPH1	BLK	1
OR5D13	BLK	1
LINC00029	BLK	1
TUBA4B	BLK	0.959253899419318
PLA2G2D	BLK	0.876989366189851
LCE2A	BLK	1
LOC100507391	BLK	0.725239769105884
WFDC13	TGM6	1
LCE3E	PROKR1	1
SERPINA9	LINC00347	1
MIR548J	LINC00347	1
REG1B	LINC00347	1
MAGEB5	LINC00347	1
MGC27382	LINC00347	1
LOC154872	LINC00347	1
CCL8	LINC00347	1
SYNPR-AS1	LINC00347	1
GPR141	LINC00347	1
MIR4305	LINC00347	1
GSTA3	LINC00347	1
OR52N2	LINC00347	0.72524411964182
OR9G1	LINC00347	0.863330394173847
OR9G9	LINC00347	0.863330394173847
OR2W1	LINC00347	1
OR51D1	LINC00347	1
SLC22A25	LINC00347	1
HOXB-AS5	HOXB13	1
MIR211	HOXB13	1
OR51G2	HOXB13	1
MIR642B	HOXB13	1
SULT6B1	HOXB13	1
OR56A3	HOXB13	1
GUCA2A	HOXB13	1
C6orf222	HOXB13	1
CLEC4F	HOXB13	1
PRAC	HOXB13	0.817796446173961
MIR4744	HOXB13	1
OR1F2P	CREB3L3	1
OR56B1	CREB3L3	1
C19orf59	CREB3L3	1
OR2T1	CREB3L3	1
PDE6H	TREM2	0.959339964475635
IFNA21	TREM2	0.959339964475634
LOC344887	TREM2	0.924242431948907
OR1D4	TREM2	0.850246512380593
CRYGB	TREM2	0.818954158022173
KRT75	TREM2	0.959339964475635
C7orf45	TREM2	0.959339964475635
PDE6H	SIGLEC5	1
IFNA21	SIGLEC5	1
LOC344887	SIGLEC5	0.963660785659026
OR1D4	SIGLEC5	0.886587261105802
CRYGB	SIGLEC5	0.854006610858458
KRT75	SIGLEC5	1
C7orf45	SIGLEC5	1
TREM2	SIGLEC5	0.959339964475635
CAMP	CXXC1P1	0.944554703314897
MIR4760	CXXC1P1	0.944554703314897
MIR941-2	CXXC1P1	0.944554703314897
KRTAP4-7	CXXC1P1	0.944554703314897
MIR3616	CXXC1P1	0.944554703314897
SERPINA9	SP8	0.881748292891549
MIR548J	SP8	0.881748292891549
REG1B	SP8	0.881748292891549
MAGEB5	SP8	0.881748292891549
MGC27382	SP8	0.881748292891549
LOC154872	SP8	0.881748292891549
CCL8	SP8	0.881748292891549
SYNPR-AS1	SP8	0.881748292891549
GPR141	SP8	0.881748292891549
MIR4305	SP8	0.881748292891549
GSTA3	SP8	0.881748292891549
OR9G1	SP8	0.760707554369368
OR9G9	SP8	0.760707554369368
OR2W1	SP8	0.881748292891549
OR51D1	SP8	0.881748292891549
SLC22A25	SP8	0.881748292891549
LINC00347	SP8	0.881748292891549
MIR5196	OR4C16	1
LINC00446	OR4C16	1
NPVF	OR8D4	0.810273776457335
SNORD6	OR8D4	0.719540592731723
OR3A1	LOC100505964	0.963773730016632
NCR2	LOC100505964	0.820289244876473
LOC286135	LOC100505964	0.949954798136075
OR1F2P	LINC00442	0.850193317910681
OR56B1	LINC00442	0.850193317910681
C19orf59	LINC00442	0.850193317910681
OR2T1	LINC00442	0.850193317910681
CREB3L3	LINC00442	0.850193317910681
