10	43
10	79
43	79
34	102
90	132
109	305
109	352
305	352
282	375
231	447
109	468
305	468
352	468
397	509
226	564
522	568
226	574
564	574
226	643
564	643
574	643
226	645
564	645
574	645
643	645
231	653
447	653
226	682
564	682
574	682
643	682
645	682
226	705
564	705
574	705
643	705
645	705
682	705
751	778
876	883
876	885
883	885
876	886
883	886
885	886
1	10
1	43
1	79
33	135
129	463
226	301
301	564
301	574
301	643
301	645
301	682
301	705
329	549
282	334
334	375
135	336
33	336
189	364
282	441
375	441
334	441
226	478
478	564
478	574
478	643
478	645
478	682
478	705
301	478
189	545
364	545
231	561
447	561
561	653
226	594
564	594
574	594
594	643
594	645
594	682
594	705
301	594
478	594
226	635
564	635
574	635
635	643
635	645
635	682
635	705
301	635
478	635
594	635
226	638
564	638
574	638
638	643
638	645
638	682
638	705
301	638
478	638
594	638
635	638
679	823
567	701
723	891
829	876
829	883
829	885
829	886
846	876
846	883
846	885
846	886
829	846
435	869
785	813
765	823
679	765
135	621
33	621
336	621
874	876
874	883
874	885
874	886
829	874
846	874
42	90
42	132
667	810
463	652
129	652
90	173
132	173
42	173
184	549
184	329
685	696
685	730
381	490
633	828
319	832
390	510
14	180
892	893
311	351
351	893
572	899
586	636
282	588
375	588
334	588
441	588
633	742
742	828
282	799
375	799
334	799
441	799
588	799
279	463
129	279
279	652
64	693
363	778
363	544
363	751
229	861
64	783
13	626
626	844
13	651
651	844
10	140
43	140
79	140
140	226
140	564
140	574
140	643
140	645
140	682
140	705
1	140
140	301
140	478
140	594
140	635
140	638
824	861
244	311
244	351
252	532
372	795
226	759
564	759
574	759
643	759
645	759
682	759
705	759
301	759
478	759
594	759
635	759
638	759
759	776
82	97
226	750
564	750
574	750
643	750
645	750
682	750
705	750
301	750
478	750
594	750
635	750
638	750
750	776
300	840
231	662
447	662
653	662
561	662
662	837
418	485
418	809
553	800
270	800
128	769
192	769
582	769
770	813
770	785
183	302
60	716
60	501
60	504
379	424
708	878
296	374
395	577
34	395
102	395
553	731
270	731
197	282
197	375
197	334
197	441
14	197
879	884
198	282
198	375
198	334
198	441
14	198
10	84
43	84
79	84
84	226
84	564
84	574
84	643
84	645
84	682
84	705
1	84
84	301
84	478
84	594
84	635
84	638
257	344
41	436
41	696
41	730
128	661
192	661
661	813
661	785
582	661
532	601
476	891
467	476
476	723
53	580
318	577
34	318
102	318
300	798
117	830
187	830
319	614
300	356
166	331
440	546
238	546
300	416
128	196
192	196
136	861
640	716
501	640
504	640
530	838
13	289
289	844
13	417
417	844
186	305
186	352
186	468
174	525
875	876
875	883
875	885
875	886
829	875
846	875
258	810
839	884
130	549
130	329
732	795
83	549
83	329
294	861
527	623
251	490
174	788
211	231
211	447
211	653
211	561
717	730
435	495
495	869
716	771
501	771
504	771
282	482
375	482
334	482
441	482
117	868
187	868
463	680
129	680
311	894
61	436
61	696
61	730
71	90
71	132
366	734
734	797
480	891
467	480
480	723
366	707
707	797
493	778
493	544
493	751
299	424
183	387
777	884
397	777
509	777
657	777
20	21
20	558
90	295
132	295
263	549
263	329
208	778
208	544
208	751
282	738
375	738
334	738
355	738
441	738
135	862
862	878
33	862
336	862
557	809
13	144
144	844
189	492
357	492
364	492
492	545
226	413
413	564
413	574
413	643
413	645
413	682
413	705
301	413
413	478
413	594
413	635
413	638
248	834
25	183
25	302
424	895
379	895
57	211
282	786
375	786
334	786
441	786
588	786
786	799
197	786
198	786
567	903
701	903
282	313
313	375
313	334
313	441
313	588
313	799
197	313
198	313
313	786
380	706
246	380
282	683
375	683
334	683
441	683
588	683
683	799
683	786
313	683
92	231
92	447
92	653
92	561
57	92
178	282
178	375
178	334
178	441
14	178
178	786
178	313
228	282
228	375
228	334
228	441
228	588
228	799
197	228
198	228
228	786
228	313
228	683
178	228
13	774
774	844
397	606
509	606
606	657
716	740
501	740
504	740
532	780
271	319
271	832
577	867
34	867
102	867
15	655
440	630
238	630
100	658
373	636
359	598
359	912
117	162
47	141
53	243
243	405
577	632
34	632
102	632
109	346
305	346
346	352
346	468
109	671
671	823
305	671
352	671
468	671
671	679
671	765
167	549
167	329
65	344
823	842
679	842
765	842
660	778
544	660
660	751
735	876
735	883
735	885
735	886
735	829
735	846
735	874
544	688
689	778
689	751
357	361
369	861
131	532
29	281
95	463
95	129
95	652
69	716
69	501
69	504
128	152
63	308
308	522
308	568
5	282
5	375
5	334
5	441
282	739
375	739
334	739
441	739
567	726
701	726
53	133
133	405
29	253
577	794
34	794
102	794
78	549
78	329
690	876
690	883
690	885
690	886
527	690
690	829
690	846
690	874
380	617
397	687
509	687
657	687
166	222
127	838
73	183
714	838
105	380
400	834
397	656
509	656
656	657
53	721
282	616
375	616
334	616
441	616
99	716
99	501
99	504
319	320
446	812
183	792
73	792
897	899
899	900
897	900
115	598
115	359
183	384
282	383
375	383
334	383
383	441
383	786
313	383
383	683
228	383
82	475
681	812
231	722
447	722
653	722
561	722
722	837
157	510
296	340
339	495
754	795
876	904
883	904
885	904
886	904
829	904
846	904
874	904
378	633
378	828
378	742
2	633
66	658
47	773
335	778
335	544
335	751
380	865
118	282
118	375
118	334
118	441
63	116
116	522
116	568
778	822
751	822
584	655
272	838
114	810
532	841
670	778
544	670
670	751
578	876
578	883
578	885
578	886
527	578
578	829
578	846
183	620
366	737
737	797
367	659
109	590
590	823
305	590
352	590
468	590
590	679
575	739
174	826
267	834
218	659
101	485
101	809
492	583
